FMC_pin FMC_port_name          FPGA_pin       FPGA_port_name                       Comments

H4      FMCP1_CLK0_M2C_P        V27            IO_L12P_GC_XCC_N4P0_M3P78_710        -
L29     FMCP1_SYNC_M2C_N        L24            IO_L24N_GC_XCC_N8P1_M3P49_709        -
D4      FMCP1_GBTCLK0_M2C_C_P   AU47           GTYP_REFCLKP1_200                    -
D5      FMCP1_GBTCLK0_M2C_C_N   AU48           GTYP_REFCLKN1_200                    -
B20     FMCP1_GBTCLK1_M2C_C_P   AN47           GTYP_REFCLKP1_201                    -
B21     FMCP1_GBTCLK1_M2C_C_N   AN48           GTYP_REFCLKN1_201                    -
C2      FMCP1_DP0_C2M_P         BJ36           GTYP_TXP0_200                        -
C3      FMCP1_DP0_C2M_N         BK36           GTYP_TXN0_200                        -
C6      FMCP1_DP0_M2C_P         BM37           GTYP_RXP0_200                        -
C7      FMCP1_DP0_M2C_N         BN37           GTYP_RXN0_200                        -
A22     FMCP1_DP1_C2M_P         BG37           GTYP_TXP1_200                        -
A23     FMCP1_DP1_C2M_N         BH37           GTYP_TXN1_200                        -
A2      FMCP1_DP1_M2C_P         BM39           GTYP_RXP1_200                        -
A3      FMCP1_DP1_M2C_N         BN39           GTYP_RXN1_200                        -
A26     FMCP1_DP2_C2M_P         BJ38           GTYP_TXP2_200                        -
A27     FMCP1_DP2_C2M_N         BK38           GTYP_TXN2_200                        -
A6      FMCP1_DP2_M2C_P         BM41           GTYP_RXP2_200                        -
A7      FMCP1_DP2_M2C_N         BN41           GTYP_RXN2_200                        -
A30     FMCP1_DP3_C2M_P         BG39           GTYP_TXP3_200                        -
A31     FMCP1_DP3_C2M_N         BH39           GTYP_TXN3_200                        -
A10     FMCP1_DP3_M2C_P         BM43           GTYP_RXP3_200                        -
A11     FMCP1_DP3_M2C_N         BN43           GTYP_RXN3_200                        -
A34     FMCP1_DP4_C2M_P         BJ40           GTYP_TXP0_201                        -
A35     FMCP1_DP4_C2M_N         BK40           GTYP_TXN0_201                        -
A14     FMCP1_DP4_M2C_P         BK44           GTYP_RXP0_201                        -
A15     FMCP1_DP4_M2C_N         BL44           GTYP_RXN0_201                        -
A38     FMCP1_DP5_C2M_P         BG41           GTYP_TXP1_201                        -
A39     FMCP1_DP5_C2M_N         BH41           GTYP_TXN1_201                        -
A18     FMCP1_DP5_M2C_P         BM45           GTYP_RXP1_201                        -
A19     FMCP1_DP5_M2C_N         BN45           GTYP_RXN1_201                        -
B36     FMCP1_DP6_C2M_P         BJ42           GTYP_TXP2_201                        -
B37     FMCP1_DP6_C2M_N         BK42           GTYP_TXN2_201                        -
B16     FMCP1_DP6_M2C_P         BK46           GTYP_RXP2_201                        -
B17     FMCP1_DP6_M2C_N         BL46           GTYP_RXN2_201                        -
B32     FMCP1_DP7_C2M_P         BG43           GTYP_TXP3_201                        -
B33     FMCP1_DP7_C2M_N         BH43           GTYP_TXN3_201                        -
B12     FMCP1_DP7_M2C_P         BM47           GTYP_RXP3_201                        -
B13     FMCP1_DP7_M2C_N         BN47           GTYP_RXN3_201                        -
